CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,6,814,774,0
43,6,774,734,0
86,1,596,556,0
129,1,556,516,0
172,8,308,268,0
215,9,333,293,0
258,1,516,476,0
301,6,734,694,0
344,6,694,654,0
387,1,476,436,0
430,6,654,614,0
473,8,268,228,0
516,6,614,574,0
559,8,228,188,0
602,2,222,182,0
645,1,436,396,0
688,7,204,164,0
731,1,396,356,0
774,6,574,534,0
817,1,356,316,0
860,1,316,276,0
903,1,276,236,0
946,7,164,124,0
989,1,236,196,0
1032,1,196,156,0
1075,1,156,116,0
1118,1,116,76,0
1161,1,76,36,0
1204,6,534,494,0
1247,6,494,454,0
1290,3,123,83,0
1333,4,209,169,0
1376,8,188,148,0
1419,1,36,0,1455
1458,3,83,43,0
1501,8,148,108,0
1544,4,169,129,0
1587,5,609,569,0
1630,6,454,414,0
1673,6,414,374,0
1716,6,374,334,0
1759,2,182,142,0
1802,7,124,84,0
1845,4,129,89,0
1888,5,569,529,0
1931,5,529,489,0
1974,7,84,44,0
2017,6,334,294,0
2060,6,294,254,0
2103,8,108,68,0
2146,3,43,3,0
2189,4,89,49,0
2232,7,44,4,0
2275,4,49,9,0
2318,7,4,0,2322
2325,8,68,28,0
2368,6,254,214,0
2411,6,214,174,0
2454,6,174,134,0
2497,8,28,0,2525
2528,5,489,449,0
2571,2,142,102,0
2614,4,9,0,2623
2626,3,3,0,2629
2632,5,449,409,0
2675,6,134,94,0
2718,6,94,54,0
2761,5,409,369,0
2804,5,369,329,0
2847,6,54,14,0
2890,5,329,289,0
2933,5,289,249,0
2976,6,14,0,2990
2993,2,102,62,0
3036,5,249,209,0
3079,2,62,22,0
3122,5,209,169,0
3165,2,22,0,3187
3190,5,169,129,0
3233,5,129,89,0
3276,5,89,49,0
3319,9,293,253,0
3362,5,49,9,0
3405,5,9,0,3414
3417,9,253,213,0
3460,9,213,173,0
3503,9,173,133,0
3546,9,133,93,0
3589,9,93,53,0
3632,9,53,13,0
3675,9,13,0,3688
