CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,6,130,90,0
43,2,488,448,0
86,4,337,297,0
129,6,90,50,0
172,6,50,10,0
215,2,448,408,0
258,4,297,257,0
301,6,10,0,311
314,9,942,902,0
357,7,317,277,0
400,2,408,368,0
443,2,368,328,0
486,8,439,399,0
529,2,328,288,0
572,3,231,191,0
615,9,902,862,0
658,7,277,237,0
701,8,399,359,0
744,3,191,151,0
787,9,862,822,0
830,3,151,111,0
873,9,822,782,0
916,3,111,71,0
959,8,359,319,0
1002,9,782,742,0
1045,7,237,197,0
1088,3,71,31,0
1131,8,319,279,0
1174,7,197,157,0
1217,8,279,239,0
1260,4,257,217,0
1303,8,239,199,0
1346,9,742,702,0
1389,3,31,0,1420
1423,2,288,248,0
1466,8,199,159,0
1509,8,159,119,0
1552,2,248,208,0
1595,7,157,117,0
1638,4,217,177,0
1681,8,119,79,0
1724,2,208,168,0
1767,2,168,128,0
1810,7,117,77,0
1853,4,177,137,0
1896,8,79,39,0
1939,2,128,88,0
1982,2,88,48,0
2025,2,48,8,0
2068,7,77,37,0
2111,7,37,0,2148
2151,2,8,0,2159
2162,8,39,0,2201
2204,4,137,97,0
2247,4,97,57,0
2290,9,702,662,0
2333,1,624,584,0
2376,9,662,622,0
2419,1,584,544,0
2462,9,622,582,0
2505,4,57,17,0
2548,4,17,0,2565
2568,9,582,542,0
2611,9,542,502,0
2654,1,544,504,0
2697,1,504,464,0
2740,9,502,462,0
2783,1,464,424,0
2826,9,462,422,0
2869,9,422,382,0
2912,9,382,342,0
2955,9,342,302,0
2998,5,222,182,0
3041,9,302,262,0
3084,9,262,222,0
3127,9,222,182,0
3170,9,182,142,0
3213,5,182,142,0
3256,9,142,102,0
3299,9,102,62,0
3342,5,142,102,0
3385,9,62,22,0
3428,9,22,0,3450
3453,5,102,62,0
3496,1,424,384,0
3539,1,384,344,0
3582,5,62,22,0
3625,1,344,304,0
3668,1,304,264,0
3711,5,22,0,3733
3736,1,264,224,0
3779,1,224,184,0
3822,1,184,144,0
3865,1,144,104,0
3908,1,104,64,0
3951,1,64,24,0
3994,1,24,0,4018
