CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
12160,9,205,165,0
12203,9,165,125,0
12246,6,120,80,0
12289,12,154,114,0
12332,3,323,283,0
12375,3,283,243,0
12418,12,114,74,0
12461,26,434,394,0
12504,4,44,4,0
12547,4,4,0,12551
12554,26,394,354,0
12597,6,80,40,0
12640,6,40,0,12680
12683,13,62,22,0
12726,12,74,34,0
12769,13,22,0,12791
12794,12,34,0,12828
12831,3,243,203,0
12874,3,203,163,0
12917,9,125,85,0
12960,26,354,314,0
13003,3,163,123,0
13046,9,85,45,0
13089,9,45,5,0
13132,9,5,0,13137
13140,26,314,274,0
13183,3,123,83,0
13226,14,244,204,0
13269,3,83,43,0
13312,26,274,234,0
13355,7,732,692,0
13398,5,849,809,0
13441,14,204,164,0
13484,14,164,124,0
13527,5,809,769,0
13570,3,43,3,0
13613,3,3,0,13616
13619,14,124,84,0
13662,7,692,652,0
13705,7,652,612,0
13748,26,234,194,0
13791,26,194,154,0
13834,14,84,44,0
13877,17,777,737,0
13920,7,612,572,0
13963,26,154,114,0
14006,14,44,4,0
14049,26,114,74,0
14092,26,74,34,0
14135,7,572,532,0
14178,26,34,0,14212
14215,7,532,492,0
14258,5,769,729,0
14301,14,4,0,14305
14308,7,492,452,0
14351,5,729,689,0
14394,5,689,649,0
14437,5,649,609,0
14480,7,452,412,0
14523,17,737,697,0
14566,7,412,372,0
14609,7,372,332,0
14652,7,332,292,0
14695,7,292,252,0
14738,17,697,657,0
14781,17,657,617,0
14824,7,252,212,0
14867,5,609,569,0
14910,17,617,577,0
14953,7,212,172,0
14996,5,569,529,0
15039,7,172,132,0
15082,5,529,489,0
15125,17,577,537,0
15168,7,132,92,0
15211,17,537,497,0
15254,5,489,449,0
15297,5,449,409,0
15340,7,92,52,0
15383,7,52,12,0
15426,5,409,369,0
15469,5,369,329,0
15512,7,12,0,15524
15527,5,329,289,0
15570,5,289,249,0
15613,17,497,457,0
15656,17,457,417,0
15699,17,417,377,0
15742,5,249,209,0
15785,17,377,337,0
15828,5,209,169,0
15871,5,169,129,0
15914,5,129,89,0
15957,5,89,49,0
16000,17,337,297,0
16043,5,49,9,0
16086,17,297,257,0
16129,17,257,217,0
16172,5,9,0,16181
16184,17,217,177,0
16227,17,177,137,0
16270,17,137,97,0
16313,17,97,57,0
16356,17,57,17,0
16399,17,17,0,16416
