CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
10345,5,187,147,0
10388,5,147,107,0
10431,5,107,67,0
10474,1,345,305,0
10517,5,67,27,0
10560,3,312,272,0
10603,5,27,0,10630
10633,10,182,142,0
10676,1,305,265,0
10719,1,265,225,0
10762,12,289,249,0
10805,12,249,209,0
10848,12,209,169,0
10891,12,169,129,0
10934,1,225,185,0
10977,1,185,145,0
11020,10,142,102,0
11063,12,129,89,0
11106,12,89,49,0
11149,12,49,9,0
11192,1,145,105,0
11235,13,595,555,0
11278,12,9,0,11287
11290,10,102,62,0
11333,1,105,65,0
11376,1,65,25,0
11419,9,535,495,0
11462,13,555,515,0
11505,3,272,232,0
11548,13,515,475,0
11591,10,62,22,0
11634,1,25,0,11659
11662,10,22,0,11684
11687,3,232,192,0
11730,3,192,152,0
11773,13,475,435,0
11816,13,435,395,0
11859,13,395,355,0
11902,3,152,112,0
11945,3,112,72,0
11988,3,72,32,0
12031,3,32,0,12063
12066,13,355,315,0
12109,13,315,275,0
12152,9,495,455,0
12195,13,275,235,0
12238,13,235,195,0
12281,13,195,155,0
12324,13,155,115,0
12367,9,455,415,0
12410,9,415,375,0
12453,13,115,75,0
12496,13,75,35,0
12539,13,35,0,12574
12577,9,375,335,0
12620,9,335,295,0
12663,9,295,255,0
12706,9,255,215,0
12749,9,215,175,0
12792,9,175,135,0
12835,9,135,95,0
12878,9,95,55,0
12921,9,55,15,0
12964,9,15,0,12979
