CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,2,972,932,0
43,6,306,266,0
86,7,422,382,0
129,4,633,593,0
172,2,932,892,0
215,6,266,226,0
258,4,593,553,0
301,17,364,324,0
344,11,942,902,0
387,19,271,231,0
430,17,324,284,0
473,5,827,787,0
516,7,382,342,0
559,4,553,513,0
602,17,284,244,0
645,2,892,852,0
688,7,342,302,0
731,4,513,473,0
774,10,702,662,0
817,17,244,204,0
860,11,902,862,0
903,2,852,812,0
946,2,812,772,0
989,4,473,433,0
1032,8,615,575,0
1075,17,204,164,0
1118,5,787,747,0
1161,8,575,535,0
1204,8,535,495,0
1247,11,862,822,0
1290,17,164,124,0
1333,8,495,455,0
1376,9,695,655,0
1419,4,433,393,0
1462,17,124,84,0
1505,10,662,622,0
1548,17,84,44,0
1591,3,992,952,0
1634,7,302,262,0
1677,17,44,4,0
1720,2,772,732,0
1763,8,455,415,0
1806,7,262,222,0
1849,17,4,0,1853
1856,7,222,182,0
1899,8,415,375,0
1942,2,732,692,0
1985,10,622,582,0
2028,13,955,915,0
2071,12,969,929,0
2114,19,231,191,0
2157,2,692,652,0
2200,2,652,612,0
2243,2,612,572,0
2286,7,182,142,0
2329,10,582,542,0
2372,6,226,186,0
2415,11,822,782,0
2458,9,655,615,0
2501,19,191,151,0
2544,15,589,549,0
2587,3,952,912,0
2630,2,572,532,0
2673,4,393,353,0
2716,12,929,889,0
2759,8,375,335,0
2802,4,353,313,0
2845,4,313,273,0
2888,12,889,849,0
2931,18,346,306,0
2974,8,335,295,0
3017,2,532,492,0
3060,6,186,146,0
3103,4,273,233,0
3146,7,142,102,0
3189,4,233,193,0
3232,14,764,724,0
3275,19,151,111,0
3318,7,102,62,0
3361,6,146,106,0
3404,11,782,742,0
3447,7,62,22,0
3490,2,492,452,0
3533,15,549,509,0
3576,10,542,502,0
3619,3,912,872,0
3662,7,22,0,3684
3687,12,849,809,0
3730,8,295,255,0
3773,8,255,215,0
3816,18,306,266,0
3859,8,215,175,0
3902,14,724,684,0
3945,12,809,769,0
3988,11,742,702,0
4031,2,452,412,0
4074,1,585,545,0
4117,15,509,469,0
4160,12,769,729,0
4203,2,412,372,0
4246,15,469,429,0
4289,15,429,389,0
4332,18,266,226,0
4375,11,702,662,0
4418,11,662,622,0
4461,8,175,135,0
4504,14,684,644,0
4547,18,226,186,0
4590,5,747,707,0
4633,10,502,462,0
4676,2,372,332,0
4719,14,644,604,0
4762,8,135,95,0
4805,8,95,55,0
4848,11,622,582,0
4891,8,55,15,0
4934,11,582,542,0
4977,4,193,153,0
5020,9,615,575,0
5063,15,389,349,0
5106,3,872,832,0
5149,8,15,0,5164
5167,12,729,689,0
5210,19,111,71,0
5253,14,604,564,0
5296,11,542,502,0
5339,10,462,422,0
5382,14,564,524,0
5425,2,332,292,0
5468,13,915,875,0
5511,16,103,63,0
5554,12,689,649,0
5597,14,524,484,0
5640,11,502,462,0
5683,10,422,382,0
5726,4,153,113,0
5769,10,382,342,0
5812,2,292,252,0
5855,15,349,309,0
5898,4,113,73,0
5941,2,252,212,0
5984,5,707,667,0
6027,14,484,444,0
6070,4,73,33,0
6113,5,667,627,0
6156,2,212,172,0
6199,3,832,792,0
6242,2,172,132,0
6285,3,792,752,0
6328,2,132,92,0
6371,2,92,52,0
6414,16,63,23,0
6457,6,106,66,0
6500,4,33,0,6533
6536,2,52,12,0
6579,11,462,422,0
6622,19,71,31,0
6665,3,752,712,0
6708,14,444,404,0
6751,11,422,382,0
6794,11,382,342,0
6837,11,342,302,0
6880,5,627,587,0
6923,2,12,0,6935
6938,11,302,262,0
6981,14,404,364,0
7024,1,545,505,0
7067,5,587,547,0
7110,16,23,0,7133
7136,18,186,146,0
7179,1,505,465,0
7222,14,364,324,0
7265,13,875,835,0
7308,14,324,284,0
7351,3,712,672,0
7394,15,309,269,0
7437,14,284,244,0
7480,6,66,26,0
7523,11,262,222,0
7566,15,269,229,0
7609,12,649,609,0
7652,5,547,507,0
7695,5,507,467,0
7738,19,31,0,7769
7772,6,26,0,7798
7801,15,229,189,0
7844,3,672,632,0
7887,10,342,302,0
7930,13,835,795,0
7973,11,222,182,0
8016,11,182,142,0
8059,14,244,204,0
8102,5,467,427,0
8145,15,189,149,0
8188,3,632,592,0
8231,11,142,102,0
8274,11,102,62,0
8317,18,146,106,0
8360,18,106,66,0
8403,11,62,22,0
8446,12,609,569,0
8489,3,592,552,0
8532,11,22,0,8554
8557,14,204,164,0
8600,1,465,425,0
8643,13,795,755,0
8686,14,164,124,0
8729,14,124,84,0
8772,1,425,385,0
8815,5,427,387,0
8858,5,387,347,0
8901,15,149,109,0
8944,15,109,69,0
8987,15,69,29,0
9030,18,66,26,0
9073,13,755,715,0
9116,18,26,0,9142
9145,14,84,44,0
9188,12,569,529,0
9231,1,385,345,0
9274,15,29,0,9303
9306,14,44,4,0
9349,14,4,0,9353
9356,3,552,512,0
9399,5,347,307,0
9442,10,302,262,0
9485,12,529,489,0
9528,5,307,267,0
9571,3,512,472,0
9614,13,715,675,0
9657,10,262,222,0
9700,10,222,182,0
9743,12,489,449,0
9786,3,472,432,0
9829,12,449,409,0
9872,13,675,635,0
9915,5,267,227,0
9958,12,409,369,0
10001,5,227,187,0
10044,12,369,329,0
10087,3,432,392,0
10130,12,329,289,0
10173,9,575,535,0
10216,13,635,595,0
10259,3,392,352,0
10302,3,352,312,0
